Dia,Horario,Atividade,Observacoes
Monday (14/04),08:00 - 11:30,Bloco Estudo Principal (Linux),Foco Definido
Monday (14/04),12:30 - 14:00,Bloco Estudo Pedagogia,Leituras/Tarefas
Monday (14/04),15:30 - 16:30,Terapia de Casal,Compromisso Fixo
Tuesday (15/04),08:00 - 10:00,AULA: Estágio Alfabetização,UFSCar - Compromisso Fixo
Tuesday (15/04),11:40 - 18:00,Trabalho,Expediente
Tuesday (15/04),19:10 - 19:30,Lanche Pré-Vôlei c/ Namorada,Encontrar antes
Tuesday (15/04),19:30 - 21:30,Vôlei,Compromisso Fixo
Wednesday (16/04),07:30 - 10:30,Estágio na Escola (Inserção),UFSCar - Compromisso Fixo
Wednesday (16/04),11:40 - 18:00,Trabalho,Expediente
Wednesday (16/04),19:15 - 20:45,Bloco Estudo (Linux),Foco Definido
Thursday (17/04),08:00 - 10:30,AULA: Escola e Currículo,UFSCar - Compromisso Fixo (Sair 10:30)
Thursday (17/04),11:40 - 18:00,Trabalho,Expediente
Thursday (17/04),19:10 - 19:30,Lanche Pré-Vôlei c/ Namorada,Encontrar antes
Thursday (17/04),19:30 - 21:30,Vôlei,Compromisso Fixo
Friday (18/04),08:15 - 10:30,Bloco Estudo (Linux),Foco Definido
Friday (18/04),11:40 - 18:00,Trabalho,Expediente
Friday (18/04),19:30 onwards,Tempo Livre com Namorada,Definir Atividade
Saturday (19/04),Manhã, Estudo Linux,Verificar Escala (Folga=Sim / Trab=Não)
Saturday (19/04),11:40 - 18:00,Trabalho,SE FOR 1º/3º SÁBADO (Confirmar!)
Saturday (19/04),Tarde,Estudo Linux,SE FOR FOLGA (2º/4º Sáb)
Saturday (19/04),Noite,Tempo Livre com Namorada,Definir Atividade
Sunday (20/04),Manhã,Estudo Linux,Verificar Escala (Folga=Sim / Trab=Não)
Sunday (20/04),11:40 - 18:00,Trabalho,SE FOR 1º/3º DOMINGO (Confirmar!)
Sunday (20/04),Noite,Tempo Livre com Namorada,Definir Atividade
Sunday (20/04),Noite,Planejar Semana,Importante!
