Dia,Horario,Atividade,Observacoes
Segunda (31/03),06:45 - 07:15,Caminhada com pai/cachorras,"Ajustada (30 min). Conversar com pai."
Segunda (31/03),07:15 - 08:30,Café da Manhã / Organização,Preparar material estudo Linux.
Segunda (31/03),08:30 - 12:00,Estudo Linux (DIO),"Bloco Focado. Pausas curtas."
Segunda (31/03),12:00 - 13:30,Almoço / Descanso,Desconectar.
Segunda (31/03),13:30 - 15:30,Estudo Linux (DIO) ou Afazeres,"Flexível: Mais estudo ou Buscar guias médicas (verificar horários)."
Segunda (31/03),15:30 - 18:00,Tempo Livre / Descanso,Evitar obrigações.
Segunda (31/03),18:00 em diante,Tempo Livre / Tarefas Leves / Jantar,"Relaxar, planejar brevemente a Terça."
Terça (01/04),06:45 - 07:15,Caminhada com pai/cachorras,"Ajustada (30 min)."
Terça (01/04),07:15 - 08:00,Café da Manhã / Preparação Aula,
Terça (01/04),08:00 - 12:00,AULA PEDAGOGIA (Escola e Currículo),Compromisso Fixo.
Terça (01/04),12:00 - 13:30,Almoço / Descanso,
Terça (01/04),13:30 - 16:00,Estudo Linux (DIO),Bloco Focado.
Terça (01/04),16:00 - 19:00,Tempo Livre / Descanso / Preparo Vôlei,
Terça (01/04),19:00 - 19:30,Deslocamento / Preparação Vôlei,
Terça (01/04),19:30 - 21:30,VÔLEI (SESC),"Compromisso Fixo. Aproveitar!"
Terça (01/04),21:30 em diante,Retorno / Banho / Jantar Leve / Relaxar,
Quarta (02/04),06:45 - 07:15,Caminhada com pai/cachorras,"Ajustada (30 min)."
Quarta (02/04),07:15 - 08:30,Café da Manhã / Organização,
Quarta (02/04),08:30 - 12:00,Estudo Linux (DIO),Bloco Focado.
Quarta (02/04),12:00 - 13:30,Almoço / Descanso,
Quarta (02/04),13:30 - 15:30,Afazeres / Flexível,"Sugestão: Buscar guias restantes E/OU Aplicar Injeção. Ou estudo/descanso."
Quarta (02/04),15:30 - 18:00,Tempo Livre / Descanso,"Descanso ativo ou passivo."
Quarta (02/04),18:00 em diante,Tempo Livre / Tarefas Leves / Jantar,Relaxar.
Quinta (03/04),06:45 - 07:15,Caminhada com pai/cachorras,"Ajustada (30 min)."
Quinta (03/04),07:15 - 08:00,Café da Manhã / Preparação Aula,
Quinta (03/04),08:00 - 10:00,AULA PEDAGOGIA (Estágio Alfabetização),Compromisso Fixo.
Quinta (03/04),10:00 - 12:00,Pausa Pós-Aula / Estudo Leve Linux,"Organizar notas ou iniciar estudo."
Quinta (03/04),12:00 - 13:30,Almoço / Descanso,
Quinta (03/04),13:30 - 16:00,Estudo Linux (DIO),Bloco Focado.
Quinta (03/04),16:00 - 19:00,Tempo Livre / Descanso / Preparo Vôlei,
Quinta (03/04),19:00 - 19:30,Deslocamento / Preparação Vôlei,
Quinta (03/04),19:30 - 21:30,VÔLEI (SESC),"Compromisso Fixo. Divirta-se!"
Quinta (03/04),21:30 em diante,Retorno / Banho / Jantar Leve / Relaxar,
Sexta (04/04),06:45 - 07:15,Caminhada com pai/cachorras,"Ajustada (30 min)."
Sexta (04/04),07:15 - 08:30,Café da Manhã / Planejamento,"Planejar dia e fds."
Sexta (04/04),08:30 - 12:00,Estudo Linux (DIO),"Bloco Focado. Concluir etapa/módulo."
Sexta (04/04),12:00 - 13:30,Almoço / Descanso,
Sexta (04/04),13:30 - 16:00,Revisão Estudo / Afazeres Finais / Descanso,"Flexível. Resolver pendências ou iniciar descanso."
Sexta (04/04),16:00 em diante,INÍCIO FIM DE SEMANA,"Desconectar, Lazer, Relaxar."
Sábado (05/04),Manhã,Flexível,"Opções: Caminhada, Estudo Leve (sem pressão), Tarefas Domésticas. Acordar com calma."
Sábado (05/04),Tarde,Almoço / Lazer / Descanso,"Prioridade: Recarregar. Passeio, hobby, descanso."
Sábado (05/04),Noite,Jantar / Lazer / Relaxar,"Preparar para Domingo tranquilo."
